Team,FIFA rank,Nickname,Star player,Star Player Position,Team Slug,Group,Flag Image,Emblem Image,Star Player Image
Mexico,15,El Tri,Santiago Giménez,Forward,mexico,A,flags/mexico-flag.png,emblems/mexico-emblem.png,players/mexico-player.png
Morocco,8,The Atlas Lions,Achraf Hakimi,Defender,morocco,D,flags/morocco-flag.png,emblems/morocco-emblem.png,players/morocco-player.png
Netherlands,7,The Oranje,Virgil van Dijk,Defender,netherlands,F,flags/netherlands-flag.png,emblems/netherlands-emblem.png,players/netherlands-player.png
New Zealand,85,The All Whites,Chris Wood,Forward,new-zealand,H,flags/new-zealand-flag.png,emblems/new-zealand-emblem.png,players/new-zealand-player.png
Norway,31,The Lions,Erling Haaland,Forward,norway,I,flags/norway-flag.png,emblems/norway-emblem.png,players/norway-player.png
Panama,33,The Canal Men,Adalberto Carrasquilla,Midfielder,panama,L,flags/panama-flag.png,emblems/panama-emblem.png,players/panama-player.png
Paraguay,40,The White and Red,Julio Enciso,Forward,paraguay,C,flags/paraguay-flag.png,emblems/paraguay-emblem.png,players/paraguay-player.png
Portugal,5,The Shields,Cristiano Ronaldo,Forward,portugal,K,flags/portugal-flag.png,emblems/portugal-emblem.png,players/portugal-player.png
Qatar,55,The Maroons,Akram Afif,Forward,qatar,B,flags/qatar-flag.png,emblems/qatar-emblem.png,players/qatar-player.png
Saudi Arabia,61,The Green Falcons,Salem Al-Dawsari,Forward,saudi-arabia,G,flags/saudi-arabia-flag.png,emblems/saudi-arabia-emblem.png,players/saudi-arabia-player.png
Scotland,43,The Tartan Army,Andy Robertson,Defender,scotland,D,flags/scotland-flag.png,emblems/scotland-emblem.png,players/scotland-player.png
Senegal,14,The Lions of Teranga,Sadio Mané,Forward,senegal,I,flags/senegal-flag.png,emblems/senegal-emblem.png,players/senegal-player.png
South Africa,60,The Boys,Ronwen Williams,Goalkeeper,south-africa,A,flags/south-africa-flag.png,emblems/south-africa-emblem.png,players/south-africa-player.png
South Korea,25,The Taegeuk Warriors,Son Heung-min,Forward,south-korea,A,flags/south-korea-flag.png,emblems/south-korea-emblem.png,players/south-korea-player.png
Spain,2,La Roja,Lamine Yamal,Forward,spain,G,flags/spain-flag.png,emblems/spain-emblem.png,players/spain-player.png
Sweden,38,The Blue and Yellow,Alexander Isak,Forward,sweden,F,flags/sweden-flag.png,emblems/sweden-emblem.png,players/sweden-player.png
Switzerland,19,The Red Crosses,Granit Xhaka,Midfielder,switzerland,B,flags/switzerland-flag.png,emblems/switzerland-emblem.png,players/switzerland-player.png
Türkiye,22,The Crescent-Stars,Hakan Çalhanoğlu,Midfielder,turkiye,C,flags/turkiye-flag.png,emblems/turkiye-emblem.png,players/turkiye-player.png
Tunisia,44,The Eagles,Ellyes Skhiri,Midfielder,tunisia,F,flags/tunisia-flag.png,emblems/tunisia-emblem.png,players/tunisia-player.png
United States,16,The Stars & Stripes,Christian Pulisic,Forward,united-states,C,flags/united-states-flag.png,emblems/united-states-emblem.png,players/united-states-player.png
Uruguay,17,La Celeste,Federico Valverde,Midfielder,uruguay,G,flags/uruguay-flag.png,emblems/uruguay-emblem.png,players/uruguay-player.png
Uzbekistan,50,The White Wolves,Eldor Shomurodov,Forward,uzbekistan,K,flags/uzbekistan-flag.png,emblems/uzbekistan-emblem.png,players/uzbekistan-player.png
